ISO2_code,Year,Population
ZM,1950,-1.2342661755700153
LR,1950,-1.2641650113949934
GW,1950,-1.1451736769192593
TW,1950,-2.237773564897423
AR,1950,-1.6962307194444648
KR,1950,-1.9273222229162925
US,1950,-1.754630707353394
LS,1950,-1.7867766670433605
MQ,1950,-2.5326354076641846
JP,1950,-2.1694155717286474
AD,1950,-1.5875296450638336
AF,1950,-1.0627205059546347
ER,1950,-1.4342859855661718
CN,1950,-1.7443797706173048
ES,1950,-1.7883748562095914
TW,1951,-2.1767794041179753
KR,1951,-1.9260246579276668
AR,1951,-1.6612163980771708
ER,1951,-1.422079566486742
LS,1951,-1.7689175602443783
ZM,1951,-1.2237061174103054
GW,1951,-1.134710689660895
LR,1951,-1.2530670235300803
ES,1951,-1.767249632777284
CN,1951,-1.7105567068681635
MQ,1951,-2.4168764081713787
US,1951,-1.717761501618258
JP,1951,-2.0745493402603117
AF,1951,-1.055481887501473
AD,1951,-1.593980252494601
ER,1952,-1.4087303389532824
AD,1952,-1.6074975366051414
AF,1952,-1.0478522329598847
GW,1952,-1.12760199780677
US,1952,-1.6804726504234537
CN,1952,-1.6707454605592225
MQ,1952,-2.293970238874653
JP,1952,-1.9862528141390163
ES,1952,-1.7368515824260387
KR,1952,-1.898175863258729
LR,1952,-1.241263320725821
TW,1952,-2.1148473053418906
ZM,1952,-1.2127822758407736
AR,1952,-1.6259556345928532
LS,1952,-1.7494681893313413
MQ,1953,-2.16410553475417
KR,1953,-1.8509322895624736
ES,1953,-1.7016749624344671
TW,1953,-2.051986861339328
CN,1953,-1.6271301163486502
JP,1953,-1.9052945922027227
AF,1953,-1.040141748397579
AD,1953,-1.6127884842730742
ER,1953,-1.3943548555998253
LR,1953,-1.2288684464349506
ZM,1953,-1.2014070056236363
LS,1953,-1.728537058465551
AR,1953,-1.5907316659248265
US,1953,-1.6405390669050406
GW,1953,-1.1212607411479592
ER,1954,-1.3790104050092007
AF,1954,-1.0322146044090432
ES,1954,-1.666487578859705
TW,1954,-1.9882350727951896
CN,1954,-1.5830473033944559
JP,1954,-1.831431024555401
US,1954,-1.596703549216458
AD,1954,-1.6034387274352204
GW,1954,-1.1155127377637284
MQ,1954,-2.02640199923584
KR,1954,-1.7934685533133603
AR,1954,-1.5557548669549373
LR,1954,-1.2157672208522192
ZM,1954,-1.1895539018415204
LS,1954,-1.705974974425219
MQ,1955,-1.9002890352763593
AF,1955,-1.0236590209182328
CN,1955,-1.5360619133231335
AR,1955,-1.5213052524715702
GW,1955,-1.1101648354251448
LS,1955,-1.6818480569336376
ZM,1955,-1.177199581826633
ER,1955,-1.3627414352198102
ES,1955,-1.6306606846779308
JP,1955,-1.7603210501287514
US,1955,-1.550068878077247
AD,1955,-1.5835070752615013
KR,1955,-1.7287895418534691
LR,1955,-1.2018686455679548
TW,1955,-1.9233006327299313
CN,1956,-1.490555395773165
LS,1956,-1.6563071945901144
GW,1956,-1.105085966548289
ER,1956,-1.3455548603709608
ZM,1956,-1.1643101645705385
MQ,1956,-1.7889943969807227
US,1956,-1.5034917170321256
AF,1956,-1.0144556845573662
AR,1956,-1.4869524062762465
ES,1956,-1.5946177500049679
KR,1956,-1.6594441514750826
TW,1956,-1.8572109490582946
LR,1956,-1.187289173092437
JP,1956,-1.6939160072472663
AD,1956,-1.5621620877518276
ER,1957,-1.3272709128406708
AF,1957,-1.004721588237452
ES,1957,-1.5565349625518607
AD,1957,-1.5395124830089648
JP,1957,-1.6357234704019232
MQ,1957,-1.6743672073688893
LR,1957,-1.1720784389218508
AR,1957,-1.4523825330288995
KR,1957,-1.5858538238729998
LS,1957,-1.6264058212643453
TW,1957,-1.790178237348712
ZM,1957,-1.1508586088927952
US,1957,-1.4575710208213937
CN,1957,-1.4423909602366713
GW,1957,-1.1001761058717499
