ISO2_code,Year,Population
CN,1950,543979.233
CN,1951,553613.988
CN,1952,564954.522
CN,1953,577378.682
CN,1954,589936.004
CN,1955,603320.147
CN,1956,616283.022
CN,1957,630003.025
CN,1958,643791.581
CN,1959,652179.194
CN,1960,654170.692
CN,1961,655260.38
CN,1962,664614.65
CN,1963,683903.557
CN,1964,704593.772
CN,1965,723846.349
CN,1966,742948.541
CN,1967,761006.26
CN,1968,780371.956
CN,1969,801430.976
CN,1970,822534.45
CN,1971,843285.424
CN,1972,862840.403
CN,1973,881652.08
CN,1974,899367.64
CN,1975,915124.661
CN,1976,929375.924
CN,1977,942581.333
CN,1978,955138.943
CN,1979,968298.969
CN,1980,982372.466
CN,1981,997259.502
CN,1982,1013483.166
CN,1983,1029226.907
CN,1984,1044172.197
CN,1985,1060239.979
CN,1986,1077770.523
CN,1987,1096851.843
CN,1988,1115889.802
CN,1989,1134414.723
CN,1990,1153704.252
CN,1991,1170626.171
CN,1992,1183813.389
CN,1993,1195855.558
CN,1994,1207286.675
CN,1995,1218144.426
CN,1996,1228298.836
CN,1997,1237801.448
CN,1998,1246836.105
CN,1999,1255433.236
CN,2000,1264099.069
CN,2001,1272739.582
CN,2002,1280926.12
CN,2003,1288873.367
CN,2004,1296816.711
CN,2005,1304887.562
CN,2006,1313086.567
CN,2007,1321513.224
CN,2008,1330167.148
CN,2009,1339125.595
CN,2010,1348191.368
CN,2011,1357095.481
CN,2012,1366560.818
CN,2013,1376100.308
CN,2014,1385189.668
CN,2015,1393715.448
CN,2016,1401889.681
CN,2017,1410275.957
CN,2018,1417069.468
CN,2019,1421864.031
CN,2020,1424929.781
CN,2021,1425893.465
CN,2022,1425887.337
JP,1950,84353.049
JP,1951,85683.474
JP,1952,86921.764
JP,1953,88057.14
JP,1954,89093.019
JP,1955,90090.281
JP,1956,91021.56
JP,1957,91837.665
JP,1958,92671.295
JP,1959,93575.985
JP,1960,94464.839
JP,1961,95355.458
JP,1962,96267.883
JP,1963,97246.712
JP,1964,98319.344
JP,1965,99468.746
JP,1966,100466.907
JP,1967,101527.852
JP,1968,102819.279
JP,1969,104102.077
JP,1970,105416.839
JP,1971,106789.355
JP,1972,108220.404
JP,1973,109679.47
JP,1974,111100.023
JP,1975,112411.64
JP,1976,113624.865
JP,1977,114761.516
JP,1978,115809.525
JP,1979,116765.509
JP,1980,117624.196
JP,1981,118385.723
JP,1982,119098.142
JP,1983,119793.752
JP,1984,120470.727
JP,1985,121119.031
JP,1986,121710.305
JP,1987,122268.885
JP,1988,122798.302
JP,1989,123270.648
JP,1990,123686.321
JP,1991,124073.993
JP,1992,124444.693
JP,1993,124779.576
JP,1994,125119.269
JP,1995,125433.969
